postal_code,lat,lng,latlon
M9W 3W8,43.71519010261721,-79.55534628122034,43.71519010261721|-79.55534628122034
M9W,43.71124779631982,-79.56596849779808,43.71124779631982|-79.56596849779808
M9W 1B4,43.6984228592084,-79.56421141496304,43.6984228592084|-79.56421141496304
M9W 4J6,43.71073634197878,-79.56588067588311,43.71073634197878|-79.56588067588311
M9W 1B2,43.700939740345575,-79.56244301714327,43.700939740345575|-79.56244301714327
M9N,43.71270306215406,-79.53154950142368,43.71270306215406|-79.53154950142368
M9R,43.69311138097989,-79.55729392261415,43.69311138097989|-79.55729392261415
M9W 4K5,43.71649134722749,-79.56928808308881,43.71649134722749|-79.56928808308881
M9W 5Z3,43.71381675864016,-79.55867566515604,43.71381675864016|-79.55867566515604
M9P 3P1,43.70595801673528,-79.55154329538345,43.70595801673528|-79.55154329538345
M9N,43.71150708814766,-79.53179654002908,43.71150708814766|-79.53179654002908
M9N,43.7117024,-79.53439329999998,43.7117024|-79.53439329999998
M9P,43.701685,-79.53322800000002,43.701685|-79.53322800000002
M9N,43.7090001,-79.5345376,43.7090001|-79.5345376
M9W 4W1,43.70094356107656,-79.57543658325682,43.70094356107656|-79.57543658325682
M9N,43.71158367335456,-79.53158799434203,43.71158367335456|-79.53158799434203
M9W,43.710967006778326,-79.56690325409001,43.710967006778326|-79.56690325409001
M9R,43.6933138,-79.5572835,43.6933138|-79.5572835
M9R,43.692935717786156,-79.55735091937309,43.692935717786156|-79.55735091937309
M9R,43.693411,-79.557073,43.693411|-79.557073
M9W 1P1,43.712576,-79.565425,43.712576|-79.565425
M9R 1T4,43.69410900000001,-79.55804599999998,43.69410900000001|-79.55804599999998
M9W 3W9,43.716137968843505,-79.55477748471475,43.716137968843505|-79.55477748471475
M9P,43.6961701,-79.5449216,43.6961701|-79.5449216
M9W,43.712486,-79.5680607,43.712486|-79.5680607
M9N 2A7,43.7087854,-79.5337936,43.7087854|-79.5337936
M9W,43.714250353155784,-79.55328855960575,43.714250353155784|-79.55328855960575
M9N,43.711946052767104,-79.53150957322657,43.711946052767104|-79.53150957322657
M9R 1T4,43.6939219,-79.5574106,43.6939219|-79.5574106
M9W 3W9,43.715938568091275,-79.55462802399225,43.715938568091275|-79.55462802399225
M9W 4K3,43.714409075488604,-79.56867475591812,43.714409075488604|-79.56867475591812
M9N,43.712216169087306,-79.53496106789112,43.712216169087306|-79.53496106789112
M9W 4K6,43.7175605834838,-79.57027879017829,43.7175605834838|-79.57027879017829
M9N,43.70839,-79.533897,43.70839|-79.533897
M9W 4J9,43.712,-79.5671,43.712|-79.5671
M9P 3N5,43.695887,-79.54483499999998,43.695887|-79.54483499999998
M9P 3C3,43.69643127748791,-79.53323325309889,43.69643127748791|-79.53323325309889
M9R,43.693213122317246,-79.55729000271056,43.693213122317246|-79.55729000271056
M9P,43.696338,-79.53339799999998,43.696338|-79.53339799999998
M9N,43.70961,-79.533425,43.70961|-79.533425
M9R,43.6937383092103,-79.55710530286524,43.6937383092103|-79.55710530286524
M9P,43.709295,-79.552185,43.709295|-79.552185
M9W 4J9,43.71197598456787,-79.5669646975399,43.71197598456787|-79.5669646975399
M9N,43.7113294,-79.5322598,43.7113294|-79.5322598
M9W 4J9,43.712614529643886,-79.56636095093211,43.712614529643886|-79.56636095093211
M9W,43.699645060579336,-79.5762348804572,43.699645060579336|-79.5762348804572
M9W,43.706400723234225,-79.56371613438259,43.706400723234225|-79.56371613438259
M9W 3W9,43.716152558180205,-79.55456561925416,43.716152558180205|-79.55456561925416
M9N 2A9,43.71141217519936,-79.53512997355709,43.71141217519936|-79.53512997355709
M9W 1G8,43.70241281675706,-79.57754464479876,43.70241281675706|-79.57754464479876
M9W,43.714239132096004,-79.55595093943658,43.714239132096004|-79.55595093943658
M9W,43.71427325861527,-79.55714958735244,43.71427325861527|-79.55714958735244
M9W 4J5,43.70867,-79.56563299999998,43.70867|-79.56563299999998
M9P,43.697041965656226,-79.54638484438856,43.697041965656226|-79.54638484438856
M9W 1P5,43.711988507153634,-79.56400697331809,43.711988507153634|-79.56400697331809
M9W 1P5,43.7119830205824,-79.56481218338013,43.7119830205824|-79.56481218338013
M9W 3T3,43.71587407067703,-79.55422220154344,43.71587407067703|-79.55422220154344
M9W,43.712899067004614,-79.54286110675545,43.712899067004614|-79.54286110675545
M9W,43.714225953253965,-79.55329329005299,43.714225953253965|-79.55329329005299
M9W 1B9,43.69700798882373,-79.56600989542193,43.69700798882373|-79.56600989542193
M9R,43.693425269364006,-79.55758635011445,43.693425269364006|-79.55758635011445
M9R,43.69262,-79.557402,43.69262|-79.557402
M9P 2P1,43.70090741334572,-79.53580773322865,43.70090741334572|-79.53580773322865
M9W 2A4,43.71600992011289,-79.56631170177384,43.71600992011289|-79.56631170177384
M9N,43.711033,-79.535338,43.711033|-79.535338
M9N,43.71052203252032,-79.53498434664097,43.71052203252032|-79.53498434664097
M9R 2Y5,43.690907306230535,-79.55706596374513,43.690907306230535|-79.55706596374513
M9R 1L5,43.69162488092204,-79.54601182332514,43.69162488092204|-79.54601182332514
M9P,43.70001307201072,-79.53440797155301,43.70001307201072|-79.53440797155301
M9M,43.713362,-79.536114,43.713362|-79.536114
M9N,43.711655827653615,-79.53450677901145,43.711655827653615|-79.53450677901145
M9R 2H1,43.690537,-79.56187800000002,43.690537|-79.56187800000002
M9N,43.712822,-79.5324624,43.712822|-79.5324624
M9N,43.71256833833955,-79.53222320265397,43.71256833833955|-79.53222320265397
M9N,43.71246877559165,-79.53165229962595,43.71246877559165|-79.53165229962595
M9N,43.713004961545174,-79.53154799964804,43.713004961545174|-79.53154799964804
M9W,43.719185163155295,-79.5694723771456,43.719185163155295|-79.5694723771456
M1H 2Y5,43.77408136872743,-79.23049585681271,43.77408136872743|-79.23049585681271
M1H,43.77599190613985,-79.23213511705399,43.77599190613985|-79.23213511705399
M1H 2V5,43.77354633117736,-79.24608237285928,43.77354633117736|-79.24608237285928
M1H 3G1,43.77469659057996,-79.24114242818267,43.77469659057996|-79.24114242818267
M1H 1H2,43.775222138791534,-79.2416776100103,43.775222138791534|-79.2416776100103
M1H 1N4,43.75734816869592,-79.23884167698144,43.75734816869592|-79.23884167698144
M1P 2Y3,43.771864612301854,-79.25264476539711,43.771864612301854|-79.25264476539711
M1H 3H9,43.78067935750718,-79.24732025929174,43.78067935750718|-79.24732025929174
M1H 3K3,43.773305,-79.251662,43.773305|-79.251662
M1H 2Y2,43.767495947512856,-79.22847558069367,43.767495947512856|-79.22847558069367
M1H 2Y5,43.775845451819535,-79.23062611495311,43.775845451819535|-79.23062611495311
M1H 2Z1,43.78257261459979,-79.23504557270299,43.78257261459979|-79.23504557270299
M1S 3P8,43.784887621777706,-79.2516851927999,43.784887621777706|-79.2516851927999
M1H 1B2,43.759389,-79.22640899999998,43.759389|-79.22640899999998
M1P,43.775537,-79.256833,43.775537|-79.256833
M1H 1A7,43.758375864666185,-79.23402737171806,43.758375864666185|-79.23402737171806
M1P,43.75889113619554,-79.25450028760426,43.75889113619554|-79.25450028760426
M1H 2Z2,43.7836566,-79.2375119,43.7836566|-79.2375119
M1H 3B1,43.774593308903405,-79.23649962433034,43.774593308903405|-79.23649962433034
M1H,43.77446763641414,-79.24126833717742,43.77446763641414|-79.24126833717742
M1H 2V6,43.776214262045,-79.23484801455352,43.776214262045|-79.23484801455352
M1P,43.77415728200111,-79.25380776403621,43.77415728200111|-79.25380776403621
M1J 1K2,43.754257979837824,-79.2443187194493,43.754257979837824|-79.2443187194493
M1P,43.77632000767913,-79.2586876451969,43.77632000767913|-79.2586876451969
M1S 3P8,43.78341688524566,-79.25310719667151,43.78341688524566|-79.25310719667151
M1H 2V6,43.77630936532643,-79.23493865172834,43.77630936532643|-79.23493865172834
M1P,43.77501688366839,-79.25810909472257,43.77501688366839|-79.25810909472257
M1P,43.7760116,-79.25833370000002,43.7760116|-79.25833370000002
M1P,43.77641,-79.25806899999998,43.77641|-79.25806899999998
M1P,43.776015461034575,-79.25736884156035,43.776015461034575|-79.25736884156035
M1P,43.77545002191434,-79.2579286531551,43.77545002191434|-79.2579286531551
M1G 2R5,43.77003720162522,-79.22115586641958,43.77003720162522|-79.22115586641958
M1P,43.77599527957654,-79.25564907498644,43.77599527957654|-79.25564907498644
M1H 2V5,43.774390743891146,-79.24387684648542,43.774390743891146|-79.24387684648542
M1H,43.759825,-79.225268,43.759825|-79.225268
M1H 3G1,43.7748302,-79.24125140000002,43.7748302|-79.24125140000002
M1H 1B2,43.75985062378836,-79.22833463006761,43.75985062378836|-79.22833463006761
M1S 3P8,43.78332985690462,-79.25315682715052,43.78332985690462|-79.25315682715052
M1H,43.77685540941018,-79.25188558949503,43.77685540941018|-79.25188558949503
M1P 4R4,43.76993563590986,-79.26036802679845,43.76993563590986|-79.26036802679845
M1H 2V5,43.774106,-79.24309699999998,43.774106|-79.24309699999998
M1H 3E9,43.776224080205964,-79.25015508889105,43.776224080205964|-79.25015508889105
M1H 3K3,43.77347454842125,-79.25139167467867,43.77347454842125|-79.25139167467867
M1P,43.775111793455885,-79.2571186919894,43.775111793455885|-79.2571186919894
M1P,43.7755173,-79.2584229,43.7755173|-79.2584229
M1H 3A6,43.776812256467935,-79.24707354680693,43.776812256467935|-79.24707354680693
M1P 2K2,43.77865947644688,-79.25683658173074,43.77865947644688|-79.25683658173074
M1G,43.77994359052461,-79.23245698213583,43.77994359052461|-79.23245698213583
M1P,43.776874,-79.256654,43.776874|-79.256654
M1H 3K3,43.77312378927221,-79.25129550884067,43.77312378927221|-79.25129550884067
M1H 2Z1,43.782135,-79.23478399999998,43.782135|-79.23478399999998
M1H 2Z1,43.78195640612876,-79.23508431427796,43.78195640612876|-79.23508431427796
M1P 2Y3,43.77147702024787,-79.25280464787159,43.77147702024787|-79.25280464787159
M1H,43.77750229592645,-79.2545536457394,43.77750229592645|-79.2545536457394
M1H 2A7,43.761520179662746,-79.22655679285526,43.761520179662746|-79.22655679285526
M1P,43.77527711493849,-79.25741288784752,43.77527711493849|-79.25741288784752
M1H,43.77745990418128,-79.25435776816887,43.77745990418128|-79.25435776816887
M1P,43.771521859665796,-79.2518573999404,43.771521859665796|-79.2518573999404
M1G 0A3,43.76014851055446,-79.2249077525873,43.76014851055446|-79.2249077525873
M1P,43.776218527245206,-79.25681965472798,43.776218527245206|-79.25681965472798
M1H 2A3,43.759320710917606,-79.2249287022087,43.759320710917606|-79.2249287022087
M1H,43.776882448908395,-79.25173280297763,43.776882448908395|-79.25173280297763
M1H 2A7,43.761066,-79.22529,43.761066|-79.22529
M1H,43.757813312694395,-79.22844171524049,43.757813312694395|-79.22844171524049
M1H 1A7,43.758,-79.2345,43.758|-79.2345
M1P,43.77498163421295,-79.25728484314126,43.77498163421295|-79.25728484314126
M1P,43.776112968748386,-79.25555191740501,43.776112968748386|-79.25555191740501
M1H,43.75733227337533,-79.23523300544083,43.75733227337533|-79.23523300544083
M1H 2A7,43.7612856747122,-79.22516959510128,43.7612856747122|-79.22516959510128
M1G,43.760947,-79.22401500000002,43.760947|-79.22401500000002
M1P,43.769724,-79.261677,43.769724|-79.261677
M1B,43.78764669428431,-79.2355257059919,43.78764669428431|-79.2355257059919
M1G,43.784808745616274,-79.2273447288361,43.784808745616274|-79.2273447288361
M1G 1P4,43.75930749288571,-79.22405711589761,43.75930749288571|-79.22405711589761
M1P,43.774798654573296,-79.25424590597602,43.774798654573296|-79.25424590597602
M1P 3G5,43.766050052516476,-79.25955802202225,43.766050052516476|-79.25955802202225
M1H,43.75782,-79.23530699999998,43.75782|-79.23530699999998
M1H 2V6,43.7759298356196,-79.23532833470263,43.7759298356196|-79.23532833470263
M1J 1K2,43.754474,-79.244881,43.754474|-79.244881
M1H,43.759713700000006,-79.225487,43.759713700000006|-79.225487
M1H,43.7580795,-79.22754470000002,43.7580795|-79.22754470000002
M1P 2K2,43.77689726,-79.25815206,43.77689726|-79.25815206
M1B 3C6,43.788870637079505,-79.2354834786603,43.788870637079505|-79.2354834786603
M1J,43.755288632410966,-79.2450004240565,43.755288632410966|-79.2450004240565
M1H,43.75790530249889,-79.23247906802132,43.75790530249889|-79.23247906802132
M1S 3P8,43.783742,-79.253186,43.783742|-79.253186
M1J 1K2,43.754934448067104,-79.24481123685838,43.754934448067104|-79.24481123685838
M1P,43.77510207641168,-79.25711450492464,43.77510207641168|-79.25711450492464
M1H 2W6,43.776277883638066,-79.23402640869378,43.776277883638066|-79.23402640869378
M1H,43.758088385161216,-79.22728700124864,43.758088385161216|-79.22728700124864
M1P,43.775057654396534,-79.2571330379872,43.775057654396534|-79.2571330379872
M1H 1B2,43.758245079722364,-79.22906638024047,43.758245079722364|-79.22906638024047
M1P,43.776755,-79.259008,43.776755|-79.259008
M1H 1B2,43.7588,-79.2273,43.7588|-79.2273
M1P,43.7751865,-79.257738,43.7751865|-79.257738
M1H,43.78095518229095,-79.23421253621103,43.78095518229095|-79.23421253621103
M1P 2K2,43.776745748118685,-79.25837678677445,43.776745748118685|-79.25837678677445
M1J,43.75655019398923,-79.24787700176239,43.75655019398923|-79.24787700176239
M1P,43.77736660662472,-79.2587304309188,43.77736660662472|-79.2587304309188
M1H,43.757374,-79.231263,43.757374|-79.231263
M4E 1S6,43.680493,-79.28884599999998,43.680493|-79.28884599999998
M4E 1S9,43.680501,-79.287522,43.680501|-79.287522
M4E 1S4,43.68036312619922,-79.28969173416124,43.68036312619922|-79.28969173416124
M1N 1B9,43.680655718615675,-79.27214020360239,43.680655718615675|-79.27214020360239
M1N 1R6,43.68842050666235,-79.27007325470059,43.68842050666235|-79.27007325470059
M4E 1G3,43.67280115048827,-79.28727198292374,43.67280115048827|-79.28727198292374
M4E 1H8,43.673767,-79.282703,43.673767|-79.282703
M4E 1G3,43.672864007619,-79.28678355423988,43.672864007619|-79.28678355423988
M4E 1H8,43.67372046319636,-79.28215483901357,43.67372046319636|-79.28215483901357
M4E,43.67036350292172,-79.28469553696922,43.67036350292172|-79.28469553696922
M4E 1E9,43.67262965222452,-79.2879933852077,43.67262965222452|-79.2879933852077
M4E 1G3,43.672800918548354,-79.28703802232461,43.672800918548354|-79.28703802232461
M4E 2X7,43.67682094413784,-79.29394208780984,43.67682094413784|-79.29394208780984
M4E 1E6,43.67211394726957,-79.29033140068844,43.67211394726957|-79.29033140068844
M4E 3R1,43.68083357358925,-79.28471180245829,43.68083357358925|-79.28471180245829
M4E 1H8,43.67373911278509,-79.28261255174259,43.67373911278509|-79.28261255174259
M4E 1E8,43.672267,-79.28958399999998,43.672267|-79.28958399999998
M4E 1G6,43.67325557112432,-79.28494255033979,43.67325557112432|-79.28494255033979
M4E 2C8,43.68452712511952,-79.29942632833531,43.68452712511952|-79.29942632833531
M4E 3R1,43.68076063491662,-79.28501935257889,43.68076063491662|-79.28501935257889
M1N 1S6,43.69166644406541,-79.26453158481681,43.69166644406541|-79.26453158481681
M4E,43.668168578916216,-79.29135534728574,43.668168578916216|-79.29135534728574
M4E 1T1,43.680781,-79.28572700000002,43.680781|-79.28572700000002
M4E 1E3,43.671452954397175,-79.29397108948247,43.671452954397175|-79.29397108948247
M4E 1E5,43.671938006121074,-79.29123801741737,43.671938006121074|-79.29123801741737
M1L,43.69245263464061,-79.28182840347291,43.69245263464061|-79.28182840347291
M4E 1E9,43.67260275638694,-79.28808039792284,43.67260275638694|-79.28808039792284
M4E 2C8,43.684105,-79.30041,43.684105|-79.30041
M4E 2V9,43.683496889971714,-79.30001696869618,43.683496889971714|-79.30001696869618
M4C 1N1,43.690359515550185,-79.29133908116464,43.690359515550185|-79.29133908116464
M4C 1M3,43.6895549178628,-79.2950373031766,43.6895549178628|-79.2950373031766
M4E 1R3,43.678879,-79.29773399999998,43.678879|-79.29773399999998
M1L,43.6915273,-79.2888684,43.6915273|-79.2888684
M4E 1E1,43.67092926821461,-79.2959690093994,43.67092926821461|-79.2959690093994
M4C 1L7,43.68862851126605,-79.29995229254888,43.68862851126605|-79.29995229254888
M1L 1E9,43.69448896280262,-79.27699774503714,43.69448896280262|-79.27699774503714
M1N 4E5,43.6804388,-79.2826,43.6804388|-79.2826
M4E 1E9,43.67250606883317,-79.288353,43.67250606883317|-79.288353
M4E 1G2,43.67110753520726,-79.29506363969708,43.67110753520726|-79.29506363969708
M4E 1E2,43.671103559068854,-79.29510713657004,43.671103559068854|-79.29510713657004
M1N 1W8,43.687231530915184,-79.28601498599164,43.687231530915184|-79.28601498599164
M1N 1N4,43.680798659230916,-79.28290665149683,43.680798659230916|-79.28290665149683
M4E 2V9,43.68307273557906,-79.2998748093593,43.68307273557906|-79.2998748093593
M4E,43.68717301725725,-79.28760719835607,43.68717301725725|-79.28760719835607
M4E 1E1,43.670992,-79.29590463638307,43.670992|-79.29590463638307
M4E 1C9,43.670639,-79.29769,43.670639|-79.29769
M1N,43.681471,-79.281281,43.681471|-79.281281
M4E 1E9,43.672574,-79.287992,43.672574|-79.287992
M4C 1L4,43.68822334940596,-79.30170939352254,43.68822334940596|-79.30170939352254
M4E 1E6,43.67056725243874,-79.29759833250183,43.67056725243874|-79.29759833250183
M4E 1E2,43.67120043400347,-79.29471710812899,43.67120043400347|-79.29471710812899
M4L,43.670736,-79.29826700000002,43.670736|-79.29826700000002
M1N 4E3,43.680899,-79.283878,43.680899|-79.283878
M4E,43.68791,-79.287134,43.68791|-79.287134
M4C 1M2,43.689474612144956,-79.29582755305405,43.689474612144956|-79.29582755305405
M4C 1X1,43.69280900665042,-79.29553269784155,43.69280900665042|-79.29553269784155
M4E 2T2,43.67081208308768,-79.29552581655024,43.67081208308768|-79.29552581655024
M1L,43.694561082812044,-79.2759427181229,43.694561082812044|-79.2759427181229
M1N 1R7,43.689047710981455,-79.26948627518628,43.689047710981455|-79.26948627518628
M1L 2V1,43.69129503946226,-79.28597080975189,43.69129503946226|-79.28597080975189
M1N 2C8,43.69517507509799,-79.26216087070237,43.69517507509799|-79.26216087070237
M4E 3H4,43.67276131307108,-79.28776380031663,43.67276131307108|-79.28776380031663
M4E 3H4,43.67263257171577,-79.28746725153026,43.67263257171577|-79.28746725153026
M4E 3M9,43.680716291188354,-79.28700577544936,43.680716291188354|-79.28700577544936
M1N,43.68777984032585,-79.28548265751691,43.68777984032585|-79.28548265751691
M4C 1M1,43.68948904808594,-79.29659128257791,43.68948904808594|-79.29659128257791
M4C,43.6898715,-79.2886147,43.6898715|-79.2886147
M4E 3H4,43.67261471952653,-79.28749153616172,43.67261471952653|-79.28749153616172
M4E 1E1,43.67104807209138,-79.29575766112752,43.67104807209138|-79.29575766112752
M4E 1E1,43.67106189021513,-79.29575478082984,43.67106189021513|-79.29575478082984
M4E 3R1,43.68088,-79.28497,43.68088|-79.28497
M4E 2R6,43.67071466807068,-79.29695568774969,43.67071466807068|-79.29695568774969
M4E 2R6,43.670789,-79.29684,43.670789|-79.29684
M1L 1A8,43.6911309461129,-79.28799150210405,43.6911309461129|-79.28799150210405
M4E,43.686458009778526,-79.30020416675751,43.686458009778526|-79.30020416675751
M4E 3V9,43.679181434941015,-79.29721535878515,43.679181434941015|-79.29721535878515
M4C,43.689895873169526,-79.28906098008156,43.689895873169526|-79.28906098008156
M4C 1L5,43.688177953895206,-79.30025317075166,43.688177953895206|-79.30025317075166
M4C 1L7,43.68903107023152,-79.29789573876326,43.68903107023152|-79.29789573876326
M4C 1M3,43.68967722869996,-79.29477863537869,43.68967722869996|-79.29477863537869
M4C,43.68965984358079,-79.28945124149324,43.68965984358079|-79.28945124149324
M4C 1M6,43.689437293901214,-79.29210181880187,43.689437293901214|-79.29210181880187
M4C 1N1,43.689672,-79.290646,43.689672|-79.290646
M4C 1N1,43.68995260801947,-79.29122600825426,43.68995260801947|-79.29122600825426
M4C 1L5,43.68854966451389,-79.30002466772105,43.68854966451389|-79.30002466772105
M1L 1B1,43.6916454,-79.2865085,43.6916454|-79.2865085
M4C 5E3,43.68972635348265,-79.29372744610778,43.68972635348265|-79.29372744610778
M4E 1G4,43.673271,-79.285854,43.673271|-79.285854
M4C 1M2,43.68953615763917,-79.29568469953941,43.68953615763917|-79.29568469953941
M4E 3L8,43.6821531100509,-79.28936295790203,43.6821531100509|-79.28936295790203
M4E,43.68755267319651,-79.28655748220378,43.68755267319651|-79.28655748220378
M4C 1N1,43.68983616548761,-79.290412957822,43.68983616548761|-79.290412957822
M1L 1A1,43.69093278070364,-79.28419274636774,43.69093278070364|-79.28419274636774
M1N 3B6,43.68658547331263,-79.26647495571214,43.68658547331263|-79.26647495571214
M4C 1N1,43.689411589192886,-79.29080843925477,43.689411589192886|-79.29080843925477
M4C 1N1,43.689571,-79.291038,43.689571|-79.291038
M1L 3N8,43.693367057146,-79.27997834306484,43.693367057146|-79.27997834306484
M4C 1N1,43.6907924911866,-79.29072260856628,43.6907924911866|-79.29072260856628
M4E 1E6,43.67212831575029,-79.29013900412023,43.67212831575029|-79.29013900412023
M1L 3W5,43.69556608836661,-79.27602056051339,43.69556608836661|-79.27602056051339
L6A 1C6,43.85244636573105,-79.52167658630952,43.85244636573105|-79.52167658630952
L6A 2E8,43.85229810917003,-79.5222974520767,43.85229810917003|-79.5222974520767
L6A 3Z3,43.85457299723442,-79.51450723240822,43.85457299723442|-79.51450723240822
L4K 5R1,43.833521849003105,-79.51967698452471,43.833521849003105|-79.51967698452471
L6A 2E8,43.85239090468853,-79.52223389311847,43.85239090468853|-79.52223389311847
L6A,43.83939208944464,-79.54089207776343,43.83939208944464|-79.54089207776343
L6A,43.84446957201185,-79.54248762030271,43.84446957201185|-79.54248762030271
L4K 2N9,43.83327545397575,-79.52125547127086,43.83327545397575|-79.52125547127086
L6A 0J6,43.855905959046076,-79.51341575120124,43.855905959046076|-79.51341575120124
L6A,43.84442682300554,-79.54076471450217,43.84442682300554|-79.54076471450217
L6A 3Y8,43.85577357791548,-79.51225392544067,43.85577357791548|-79.51225392544067
L6A 1S1,43.849079036350545,-79.53610675512414,43.849079036350545|-79.53610675512414
L6A,43.83718706292395,-79.50869768857956,43.83718706292395|-79.50869768857956
L6A 3L2,43.850641,-79.532257,43.850641|-79.532257
L6A 3X5,43.842667408703015,-79.54123640920565,43.842667408703015|-79.54123640920565
L6A,43.84014138111099,-79.54024667998512,43.84014138111099|-79.54024667998512
L6A 1G5,43.854237128562325,-79.51625694477677,43.854237128562325|-79.51625694477677
L6A 1S1,43.85154111945936,-79.53571319658296,43.85154111945936|-79.53571319658296
L6A 3V8,43.84479791020018,-79.53499660595956,43.84479791020018|-79.53499660595956
L6A 3V6,43.84323914375087,-79.53446286462105,43.84323914375087|-79.53446286462105
L6A 3P9,43.849223,-79.53276899999999,43.849223|-79.53276899999999
L6A,43.84279264385021,-79.54229572797374,43.84279264385021|-79.54229572797374
L6A 3X5,43.84312633805604,-79.53489218860778,43.84312633805604|-79.53489218860778
L4K 2N6,43.836152264451535,-79.50663002404028,43.836152264451535|-79.50663002404028
L6A 0C5,43.834457880441896,-79.53389714202207,43.834457880441896|-79.53389714202207
L6A 2C8,43.85170213132239,-79.53405116618184,43.85170213132239|-79.53405116618184
L6A 4V6,43.8559833,-79.51264859999998,43.8559833|-79.51264859999998
L4K 4Z1,43.83754885193589,-79.5024159550667,43.83754885193589|-79.5024159550667
L6A 4H9,43.83665673643088,-79.5336163782703,43.83665673643088|-79.5336163782703
L6A,43.83593648892718,-79.51871419607268,43.83593648892718|-79.51871419607268
L6A 1S1,43.844144,-79.535162,43.844144|-79.535162
L4K 2N6,43.83566634130986,-79.50953741617799,43.83566634130986|-79.50953741617799
L6A,43.83987399800522,-79.54060930110002,43.83987399800522|-79.54060930110002
L6A 3N9,43.849130042210724,-79.53480892174126,43.849130042210724|-79.53480892174126
L4K 4X8,43.835285,-79.508459,43.835285|-79.508459
L6A 3Z1,43.858066834065845,-79.50247659598794,43.858066834065845|-79.50247659598794
L6A,43.84305363555666,-79.53410769982531,43.84305363555666|-79.53410769982531
L4K 2N9,43.834148529061785,-79.52093794941901,43.834148529061785|-79.52093794941901
L6A,43.84455258085973,-79.54291226641459,43.84455258085973|-79.54291226641459
L4K 5B4,43.83597785913211,-79.50719609862062,43.83597785913211|-79.50719609862062
L6A 3N9,43.84958510000001,-79.53505729999998,43.84958510000001|-79.53505729999998
L6A 4G5,43.84308609253426,-79.54035647589984,43.84308609253426|-79.54035647589984
L6A,43.855056,-79.51281800000002,43.855056|-79.51281800000002
L6A 1S1,43.8460744,-79.53586259999999,43.8460744|-79.53586259999999
L6A 1P6,43.8553334807739,-79.51197301377164,43.8553334807739|-79.51197301377164
L6A 3N9,43.84796335432708,-79.53579722283929,43.84796335432708|-79.53579722283929
L6A,43.84100429662039,-79.53908806311819,43.84100429662039|-79.53908806311819
L6A,43.85096893400678,-79.53307955049226,43.85096893400678|-79.53307955049226
L6A,43.85990465894508,-79.50274750993793,43.85990465894508|-79.50274750993793
L4K,43.8367,-79.5046,43.8367|-79.5046
L6A,43.841947456450825,-79.54193754018209,43.841947456450825|-79.54193754018209
L6A 3Z5,43.85006532,-79.53610538,43.85006532|-79.53610538
L6A,43.84240294921517,-79.5397709417162,43.84240294921517|-79.5397709417162
L6A,43.84035514282482,-79.54129349360457,43.84035514282482|-79.54129349360457
L4K,43.83663953848272,-79.50489431619644,43.83663953848272|-79.50489431619644
L4K 2N9,43.83183,-79.52689000000002,43.83183|-79.52689000000002
L6A 3X5,43.842589033146346,-79.53976924875288,43.842589033146346|-79.53976924875288
L4K 5E4,43.832396940635526,-79.52000290163883,43.832396940635526|-79.52000290163883
L6A,43.84062108004897,-79.53939818139357,43.84062108004897|-79.53939818139357
